蜂	2
鹊	7
彼	5
妇	4
淫	5
昏	6
鹑	1
恶	6
实	5
积	5
毁	2
职	2
吕	1
氏	4
皇	19
毐	1
妄	1
昊	1
殛	1
善	4
娄	1
叫	3
晨	7
奚	1
旁	4
止	2
渡	5
罥	1
箜	1
篌	1
竟	21
休	8
顽	1
奏	11
斑	3
颊	1
萤	1
兼	2
领	2
霍	5
嫖	2
姚	2
敌	1
零	5
恸	3
哭	6
嫁	2
周	8
怨	4
盛	2
循	1
环	3
房	4
貌	5
厚	1
尝	6
玳	1
瑁	1
比	5
憔	5
悴	5
附	1
依	8
萍	3
床	7
笛	4
越	14
弹	8
胄	1
违	5
诺	5
差	5
宾	9
帽	1
衾	4
芬	8
测	3
宋	4
陈	3
雅	5
讥	5
务	2
委	10
箧	2
蠹	2
坏	1
笙	7
泛	6
艳	10
配	1
恐	15
畴	4
陇	9
荐	4
宗	3
庙	5
妃	3
恃	2
丽	6
容	10
保	4
册	1
麟	6
困	1
厄	1
恨	13
遭	3
谗	3
荆	11
忠	3
臣	9
刖	1
遂	11
营	9
类	1
霭	2
甚	1
插	2
骄	4
那	2
桐	6
棠	1
漠	4
甘	3
愧	5
永	10
勖	3
铭	6
倘	8
扁	1
狎	2
鸥	6
药	10
蠖	1
筱	1
岫	3
蕖	2
薇	3
眷	1
吠	3
魂	10
索	2
荪	2
露	6
层	4
飙	2
振	6
翮	1
腾	4
骞	1
纵	4
棹	8
亩	2
搔	2
背	4
牧	5
鹅	4
旄	4
秉	8
钺	4
伐	2
霆	1
总	2
辰	7
丑	2
纪	1
帼	1
巾	4
庶	2
昆	5
睹	6
仪	2
鲍	2
病	3
邻	8
激	5
槁	1
虱	3
桓	2
辛	4
噫	1
蘋	1
茂	3
业	3
藩	3
簪	3
斧	2
夔	1
矫	2
翔	3
鹓	1
县	1
项	2
尊	2
卫	4
谬	6
懿	1
履	4
狐	2
温	1
猕	1
猴	2
土	7
羸	1
辕	1
羲	2
盆	2
速	2
电	3
毂	2
卒	3
角	3
亡	4
况	3
炎	7
蒸	1
烁	1
篇	3
藻	1
彭	3
誓	3
稽	6
耻	6
刃	3
桑	9
政	3
除	3
害	1
浆	3
候	2
聚	6
讴	1
化	17
洽	1
邦	2
濑	1
延	11
邀	7
遮	3
组	3
呵	1
吓	1
熬	2
邑	3
翦	3
棘	3
肃	1
荷	7
熟	2
丰	4
醁	1
途	12
帷	2
击	6
鹏	2
抟	1
弟	5
兄	4
葬	2
旌	3
仓	1
柯	6
形	7
让	4
缅	6
邈	8
莎	1
棕	1
响	3
雍	1
输	3
降	5
叛	2
蓟	1
颇	2
韩	4
贫	4
刘	3
哲	2
快	2
匝	1
掷	4
盼	2
侠	2
溧	1
挝	1
撑	1
赊	4
盘	4
报	14
析	3
适	5
仆	1
陌	7
烦	2
津	9
婚	1
娶	1
毕	1
羡	5
源	8
遐	1
旷	8
郁	4
惆	5
怅	7
襟	5
甫	2
致	2
求	9
皋	4
元	10
筋	1
逼	1
怆	2
沾	8
冷	3
嫩	1
篁	1
侵	4
密	2
洗	12
砚	1
修	2
敲	1
拟	2
彷	1
徨	1
逝	1
仲	3
贾	4
涕	5
鸱	4
稀	2
执	3
袂	4
淳	3
替	2
谒	4
躩	1
跃	5
蹴	2
踏	4
罪	3
警	1
俗	9
瀛	5
籍	3
肖	1
豫	4
立	8
咏	5
芝	2
夏	1
歊	1
烧	2
飕	2
氛	3
仇	2
屣	1
笺	1
绎	1
彦	3
异	8
罄	1
拙	2
繁	2
错	4
饭	3
毫	6
末	4
倪	1
包	3
谓	6
悠	13
往	17
旦	1
勋	2
叙	2
季	7
凛	1
姿	4
僚	1
葵	2
驹	4
卮	1
龄	2
支	3
螽	1
侍	3
邸	1
喑	1
呜	2
窜	2
舆	5
宅	2
偃	3
愉	1
恤	2
茕	1
嫠	1
兆	1
虑	2
特	3
宜	7
馈	1
渤	2
浅	6
慈	1
楫	1
逵	1
郊	1
圻	1
掺	1
阡	1
寝	3
扃	1
户	5
提	7
笼	2
缲	1
杼	1
室	4
览	7
谣	2
诵	2
垢	3
系	2
濆	2
麈	2
注	3
亹	2
搏	2
兢	1
惚	1
匠	1
墩	1
嘉	2
暾	1
潜	3
即	4
话	4
述	2
焉	5
稠	1
札	1
予	4
郢	4
冀	4
赏	7
剪	7
缝	3
服	8
夺	6
钗	3
縠	1
濯	3
卖	3
男	2
矣	3
薪	3
崆	1
峒	1
烈	3
厥	1
想	7
象	6
陷	2
镝	1
勒	2
鲸	7
鲵	4
洒	8
霖	4
舄	3
鸠	1
诚	4
刻	3
杖	3
镂	1
赐	6
耆	1
司	2
葭	1
鳞	4
饯	2
筌	1
俯	4
朽	1
牖	3
寺	1
炼	8
液	4
甲	3
豕	2
就	6
仍	3
产	3
襄	1
童	6
宴	9
彤	2
左	4
右	2
承	3
銮	1
镫	1
塘	1
价	2
辟	2
蹶	1
冈	1
接	10
体	2
皮	1
肤	1
汲	1
涧	2
坂	1
骖	1
篱	1
菊	3
菲	3
姮	1
窃	3
希	4
巫	3
巷	1
凄	5
走	4
顺	1
蔷	2
蕨	2
演	1
偈	1
澜	5
阜	1
馆	3
捶	1
炰	1
榴	1
歈	3
座	9
催	4
限	2
锄	1
犁	2
羌	3
圭	2
写	8
滋	2
俄	3
告	1
漾	4
鹢	1
羁	3
膳	1
漕	1
救	2
辅	2
疲	2
免	1
晦	2
杳	8
民	2
制	1
造	10
讽	1
祇	1
沛	1
娱	4
瓢	1
吁	3
艾	1
茸	1
铗	1
砂	4
整	1
返	2
视	6
暂	6
耸	1
命	3
淹	2
术	2
轹	1
曳	3
匕	2
仕	2
邳	1
匣	5
锈	1
涩	1
莓	2
峡	7
筝	3
升	3
輧	1
镐	5
陛	1
晏	2
萱	1
袅	6
堤	1
浣	2
迟	9
偶	5
境	2
叟	3
匏	1
瓜	3
斜	3
曛	2
湿	2
记	2
苎	1
淡	1
讼	1
盖	3
增	2
慨	3
瞻	3
阅	1
徂	2
罢	6
寸	3
朋	1
友	3
鵕	1
羝	1
裴	5
炳	2
穴	1
费	3
租	1
税	1
辽	6
卢	2
咫	3
己	3
栽	1
徇	1
受	6
儒	4
掌	2
莲	5
